"","regulator","regulatees","mean_edge_weight"
"90","AC023509.3","TNFRSF14-AS1",0.190723412702616
"91","AC023509.3","TNFRSF18",0.246263466566738
"92","AC023509.3","TNFRSF19",0.127207238574147
"93","AC023509.3","TNFRSF1A",0.230217217756196
"94","AC023509.3","TNFRSF1B",0.182458639503776
"95","AC023509.3","TNFRSF4",0.285689175959067
"96","AC023509.3","TNFRSF8",0.230267392860011
"97","AC023509.3","TNFRSF9",0.239924740930792
"98","AC023509.3","TNFSF11",0.317833058345428
"99","AC023509.3","TNFSF13B",0.136451421189928
"100","AC023509.3","TNFSF14",0.609260242397834
"101","AC023509.3","TNFSF18",0.207434044132488
"102","AC023509.3","TNFSF4",0.163910021864082
"103","AC023509.3","XCL1",0.22172680146573
"104","AC023509.3","XCL2",0.206686018967754
"105","AIRE","ADAMTS1",0.514798953357231
"106","AIRE","ADAMTS10",0.477832435602709
"107","AIRE","ADAMTS13",0.489857057058232
"108","AIRE","ADAMTS15",0.250522812795771
"109","AIRE","ADAMTS17",0.244054013066087
"110","AIRE","ADAMTS3",0.178124208104826
"111","AIRE","ADAMTS6",0.293493777848124
"112","AIRE","CCL17",0.579019036802112
"113","AIRE","CCL20",0.20356716211746
"114","AIRE","CCL24",0.0998134408329918
"115","AIRE","CCL27",0.444741079806351
"116","AIRE","CCL28",0.577776455364024
"117","AIRE","CSF1",0.586892358231746
"118","AIRE","CSF2",0.265414761183238
"119","AIRE","CSF2RA",0.656646348171455
"120","AIRE","CSF3",0.177307710789259
"121","AIRE","CXCL10",0.389993423668093
"122","AIRE","CXCL14",0.591654448205346
"123","AIRE","CXCL2",0.188088349535419
"124","AIRE","CXCL9",0.194425803536876
"125","AIRE","IFNA2",0.284269929996254
"126","AIRE","IFNAR1",0.158007306946157
"127","AIRE","IFNAR2",0.683032016752573
"128","AIRE","IFNG",0.480964718592511
"129","AIRE","IFNG-AS1",0.603911685699284
"130","AIRE","IFNGR1",0.312394537861108
"131","AIRE","IFNGR2",0.162370706224787
"132","AIRE","IL10RA",0.42065472424592
"133","AIRE","IL10RB",0.623657800569972
"134","AIRE","IL10RB-DT",0.155098374093736
"135","AIRE","IL11RA",0.632954938279348
"136","AIRE","IL12A",0.15930881957588
"137","AIRE","IL12RB1",0.550667644790317
"138","AIRE","IL12RB2",0.456188515237806
"139","AIRE","IL13RA2",0.428962214100992
"140","AIRE","IL15",0.538905962778468
"141","AIRE","IL15RA",0.239482452489165
"142","AIRE","IL16",0.503625346569573
"143","AIRE","IL17A",1.2900208140653
"144","AIRE","IL17B",0.166058463815198
"145","AIRE","IL17C",0.496940290527481
"146","AIRE","IL17RA",0.180938314659885
"147","AIRE","IL17RC",0.535366593172141
"148","AIRE","IL17RE",0.213049211513316
"149","AIRE","IL17REL",0.542943546692428
"150","AIRE","IL18BP",0.19198999861487
"151","AIRE","IL18R1",0.645819038116248
"152","AIRE","IL18RAP",0.198145270892307
"153","AIRE","IL1R1",0.703934445229183
"154","AIRE","IL1R2",0.572590838548068
"155","AIRE","IL1RAP",0.489544547528655
"156","AIRE","IL1RL2",0.616764245245884
"157","AIRE","IL2",0.65609406876754
"158","AIRE","IL20RA",0.167179743502853
"159","AIRE","IL20RB",0.231835220313727
"160","AIRE","IL20RB-AS1",0.169146971413069
"161","AIRE","IL21R",0.59816616610081
"162","AIRE","IL22",0.184571224985265
"163","AIRE","IL26",0.781319014854856
"164","AIRE","IL2RA",0.239482452489165
"165","AIRE","IL2RB",0.385203748970086
"166","AIRE","IL31",0.680120660612213
"167","AIRE","IL34",0.146000638055224
"168","AIRE","IL3RA",0.329004489130319
"169","AIRE","IL4I1",0.21207472226224
"170","AIRE","IL4R",0.215166713978036
"171","AIRE","IL5RA",0.488431939887888
"172","AIRE","IL6",0.427709506455166
"173","AIRE","IL6R",0.878018617719789
"174","AIRE","IL6R-AS1",0.556449848123595
"175","AIRE","IL6ST",0.733506274089647
"176","AIRE","IL7",0.523443009996958
"177","AIRE","IL7R",0.394022503967779
"178","AIRE","IMMP1L",0.146720716136821
"179","AIRE","IMMP2L",0.412496473904281
"180","AIRE","MMP2-AS1",0.37892514057202
"181","AIRE","MMP20",0.191791978911689
"182","AIRE","MMP24",0.525227496723601
"183","AIRE","MMP24OS",0.522731588536207
"184","AIRE","MMP27",0.191905995438247
"185","AIRE","MMP28",0.349870637490254
"186","AIRE","MMP7",0.26039645036338
"187","AIRE","MMP8",0.192316452493092
"188","AIRE","NOTCH2",0.839072538863687
"189","AIRE","PDGFA",0.458947703873452
"190","AIRE","PDGFD",0.657799221572655
"191","AIRE","PDGFRA",0.190562417061587
"192","AIRE","PDGFRL",0.166978472721429
"193","AIRE","TGFB1",0.569242532390184
"194","AIRE","TGFB2-AS1",0.130939994930637
"195","AIRE","TGFBR1",0.533495756090567
"196","AIRE","TGFBR2",0.737302320973119
"197","AIRE","TGFBR3",0.211229391124258
"198","AIRE","TGFBRAP1",0.195103509444121
"199","AIRE","TNFAIP1",0.681529425794042
"200","AIRE","TNFAIP3",0.480383153414658
"201","AIRE","TNFRSF11A",0.175775587549197
"202","AIRE","TNFRSF19",0.19715250265168
"203","AIRE","TNFRSF1B",0.410641672164482
"204","AIRE","TNFRSF21",0.584107319523068
"205","AIRE","TNFRSF8",0.313687585998294
