"","new_id","net"
"578","p61","ICAM"
"579","p61","ADGRE"
"580","p61","NCAM"
"581","p61","IL1"
"582","p63","MHC-I"
"583","p63","CD99"
"584","p63","CLEC"
"585","p63","CypA"
"586","p63","ICAM"
"587","p63","ADGRE"
"588","p63","CD160"
"589","p65","MHC-I"
"590","p65","CD99"
"591","p65","CLEC"
"592","p65","ICAM"
"593","p65","ADGRE"
"594","p65","TGFb"
"595","p65","PARs"
